sectorId,sectorName,tier,horizon,adoption,score,zone,dominant,trigger_scarce_knowledge,trigger_coordination_zero,trigger_unbundling
1,Financial Services & Insurance,T1,H1,low,30.1020,Adapting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T1,H1,medium,26.3382,Adapting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T1,H1,high,21.5743,Adapting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T1,H2,low,30.1020,Adapting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T1,H2,medium,26.3382,Adapting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T1,H2,high,21.5743,Adapting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T1,H3,low,30.1020,Adapting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T1,H3,medium,26.3382,Adapting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T1,H3,high,21.5743,Adapting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T1,H4,low,30.1020,Adapting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T1,H4,medium,26.3382,Adapting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T1,H4,high,21.5743,Adapting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T2,H1,low,63.2178,Disrupting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T2,H1,medium,66.5502,Disrupting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T2,H1,high,68.8826,Disrupting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T2,H2,low,63.2178,Disrupting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T2,H2,medium,66.5502,Disrupting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T2,H2,high,68.8826,Disrupting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T2,H3,low,63.2178,Disrupting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T2,H3,medium,66.5502,Disrupting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T2,H3,high,68.8826,Disrupting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T2,H4,low,63.2178,Disrupting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T2,H4,medium,66.5502,Disrupting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T2,H4,high,68.8826,Disrupting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T3,H1,low,76.6214,Disrupting,T/A,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T3,H1,medium,82.8260,Restructuring,T/A,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T3,H1,high,88.0306,Restructuring,T/A,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T3,H2,low,76.6214,Disrupting,T/A,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T3,H2,medium,82.8260,Restructuring,T/A,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T3,H2,high,88.0306,Restructuring,T/A,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T3,H3,low,76.6214,Disrupting,T/A,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T3,H3,medium,82.8260,Restructuring,T/A,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T3,H3,high,88.0306,Restructuring,T/A,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T3,H4,low,76.6214,Disrupting,T/A,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T3,H4,medium,82.8260,Restructuring,T/A,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T3,H4,high,88.0306,Restructuring,T/A,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T4,H1,low,84.6806,Restructuring,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T4,H1,medium,92.6122,Restructuring,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T4,H1,high,99.5437,Restructuring,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T4,H2,low,84.6806,Restructuring,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T4,H2,medium,92.6122,Restructuring,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T4,H2,high,99.5437,Restructuring,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T4,H3,low,84.6806,Restructuring,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T4,H3,medium,92.6122,Restructuring,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T4,H3,high,99.5437,Restructuring,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T4,H4,low,84.6806,Restructuring,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T4,H4,medium,92.6122,Restructuring,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T4,H4,high,99.5437,Restructuring,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T5,H1,low,85.0000,Restructuring,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T5,H1,medium,93.0000,Restructuring,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T5,H1,high,100.0000,Restructuring,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T5,H2,low,85.0000,Restructuring,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T5,H2,medium,93.0000,Restructuring,A/C,FALSE,FALSE,FALSE
